StoreNumber,ItemCode,TxnTime,SaleFlag,Quantity,Ignore1,Amount,Ignore3,Ignore4,Ignore5,Ignore6,Ignore7,SegmentCode
108,84105802400,09-05-2013 00:27,N,1,0,11.79,840200,896262,11.79,N,N,1002
108,89470001034,09-05-2013 00:27,N,1,0,1.29,840200,832102,1.29,N,N,778
108,2840015636,09-05-2013 00:27,Y,2,0,7,840200,893943,8.58,Y,N,1071
108,2840015750,09-05-2013 00:27,Y,2,0,6,840200,893952,6.98,Y,N,1053
108,4127102108,09-05-2013 00:27,N,1,0,3.69,840200,894107,3.69,N,N,3541
108,2363742163,09-05-2013 00:27,N,1,0,3.99,840200,918580,3.99,N,N,3418
108,81829001259,09-05-2013 00:27,N,2,0,2.58,840200,917619,2.58,N,N,775
108,81829001271,09-05-2013 00:27,N,1,0,1.29,840200,917620,1.29,N,N,778
108,81829001273,09-05-2013 00:27,N,2,0,2.58,840200,917621,2.58,N,N,778
108,2100001087,09-05-2013 00:27,N,2,0,2.38,840200,23795,2.38,N,N,2751
108,2100002545,09-05-2013 00:27,N,2,0,2.38,840200,23268,2.38,N,N,2751
108,6414486359,09-05-2013 00:27,Y,1,0,2,840200,23280,2.19,Y,N,2775
108,6414486355,09-05-2013 00:27,Y,2,0,4,840200,23282,4.38,Y,N,2775
108,7255400156,09-05-2013 00:27,N,1,0,4.59,840200,35662,4.59,N,N,454
108,74759962002,09-05-2013 00:27,N,1,0,5.99,840200,45819,5.99,N,N,3534
108,76687800162,09-05-2013 00:27,Y,1,0,15.99,840200,61945,17.49,Y,N,2626
108,89470001015,09-05-2013 00:27,N,1,0,1.29,840200,19615,1.29,N,N,778
108,1410007952,09-05-2013 00:27,N,1,0,3.49,840200,50454,3.49,N,N,3162
108,8315,09-05-2013 00:27,Y,0,6.951,31.21,840200,44126,31.21,N,N,3413
108,2363748477,09-05-2013 00:27,Y,1,0,2.99,840200,44341,3.99,Y,N,3418
108,3746601643,09-05-2013 00:27,N,1,0,3.49,840200,45162,3.49,N,N,3219
108,3800031710,09-05-2013 00:27,Y,1,0,2,840200,18248,2.69,Y,N,127
108,3800031010,09-05-2013 00:27,Y,1,0,2,840200,18255,2.69,Y,N,127
108,3400056023,09-05-2013 00:27,Y,2,0,4,840200,18992,5.38,Y,N,3217
108,2840002333,09-05-2013 00:27,Y,4,0,12,840200,39238,13.16,Y,N,1066
108,2840006405,09-05-2013 00:27,Y,2,0,5,840200,39311,8.58,Y,N,1069
108,5100013450,09-05-2013 00:27,Y,2,0,3.34,840200,15208,4.38,Y,N,2719
108,5100013736,09-05-2013 00:27,Y,1,0,1.67,840200,15209,2.19,Y,N,2719
108,3746601763,09-05-2013 00:27,N,1,0,3.49,840200,45114,3.49,N,N,3219
108,1600028372,09-05-2013 00:27,N,1,0,3.69,840200,17299,3.69,N,N,3144
108,2100002322,09-05-2013 00:27,N,2,0,2.98,840200,16837,2.98,N,N,2751
108,76211120613,09-05-2013 00:27,Y,1,0,9.49,840200,17247,9.99,Y,N,3439
108,1904501027,09-05-2013 00:27,N,1,0,3.29,840200,64424,3.29,N,N,919
108,30521516328,09-05-2013 00:27,N,1,0,3.29,840200,59915,3.29,N,N,931
108,1410007472,09-05-2013 00:27,N,1,0,3.69,840200,50459,3.69,N,N,3162
108,89470001005,09-05-2013 00:27,N,1,0,1.29,840200,19527,1.29,N,N,778
108,89470001004,09-05-2013 00:27,N,1,0,1.29,840200,19528,1.29,N,N,780
108,3450063156,09-05-2013 00:27,N,2,0,7.38,840200,28162,7.38,N,N,3541
108,7403006920,09-05-2013 00:27,N,1,0,5.99,840200,19497,5.99,N,N,721
108,61300872415,09-05-2013 00:27,Y,1,0,2.99,840200,47996,3.19,Y,N,1079
108,5100014982,09-05-2013 00:27,Y,1,0,1.66,840200,16394,2.19,Y,N,2719
108,5100015076,09-05-2013 00:27,Y,1,0,1.67,840200,16395,2.19,Y,N,2719
108,7017726769,09-05-2013 00:27,N,1,0,3.99,840200,48889,3.99,N,N,3428
108,1600027706,09-05-2013 00:27,N,1,0,3.69,840200,24491,3.69,N,N,3144
108,7403006628,09-05-2013 00:27,N,1,0,5.99,840200,19810,5.99,N,N,721
108,7062266666,09-05-2013 00:27,Y,2,0,5,840200,22444,5.98,Y,N,3233
108,89470001012,09-05-2013 00:27,N,1,0,1.29,840200,222830,1.29,N,N,778
108,89470001016,09-05-2013 00:27,N,1,0,1.29,840200,809086,1.29,N,N,778
108,2363748984,09-05-2013 00:27,Y,1,0,2.99,840200,813770,3.99,Y,N,3418
108,7017716124,09-05-2013 00:27,N,1,0,3.99,840200,802854,3.99,N,N,3428
108,3600025824,09-05-2013 00:27,N,2,0,3.98,840200,808984,3.98,N,N,668
108,4400003037,09-05-2013 00:27,Y,2,0,6,840200,841311,7.58,Y,N,3176
108,1600041269,09-05-2013 00:27,N,1,0,3.99,840200,897183,3.99,N,N,3144
108,1122510104,09-05-2013 00:34,N,1,0,1.79,840201,861578,1.79,N,N,180
108,7797503423,09-05-2013 00:34,Y,2,0,5,840201,891876,6.98,Y,N,1069
108,7078426454,09-05-2013 00:34,Y,1,0,0,840201,22948,2.49,Y,N,3
108,7078426454,09-05-2013 00:34,N,1,0,2.49,840201,22948,2.49,N,N,3
108,7078400003,09-05-2013 00:34,Y,1,0,1.49,840201,35313,1.69,Y,N,3192
108,7880011214,09-05-2013 00:34,N,1,0,2.27,840201,55553,2.27,N,N,762
108,7078402212,09-05-2013 00:34,Y,2,0,1.34,840201,15412,1.5,Y,N,772
108,7078402260,09-05-2013 00:34,Y,1,0,0.66,840201,15414,0.75,Y,N,772
108,7078402260,09-05-2013 00:34,Y,1,0,0.67,840201,15414,0.75,Y,N,772
108,7131900064,09-05-2013 00:34,Y,1,0,2.5,840201,52568,2.89,Y,N,3204
108,2840006740,09-05-2013 00:34,Y,1,0,3.99,840201,39317,5.49,Y,N,1058
108,7078401096,09-05-2013 00:34,Y,1,0,2.5,840201,19627,3.79,Y,N,719
108,1200002455,09-05-2013 00:34,Y,1,0,2.5,840201,39814,3.69,Y,N,1299
108,4850030673,09-05-2013 00:34,Y,2,0,6,840201,809048,7.58,Y,N,705
108,2363715690,09-05-2013 00:34,Y,1,0,2.5,840201,847578,2.99,Y,N,3422
108,7078402282,09-05-2013 00:34,Y,1,0,0.66,840201,826398,0.75,Y,N,772
108,7078402282,09-05-2013 00:34,Y,1,0,0.67,840201,826398,0.75,Y,N,772
108,7142900246,09-05-2013 00:35,Y,1,0,3.49,810212,832044,3.69,Y,N,481
108,3100010130,09-05-2013 00:35,Y,2,0,2,810212,895495,2.58,Y,N,484
